/sm	OFF
/sc	ON
/sd	OFF
/fpo	pd	8.00 6.00
/td	"xy"
4.423585e-003	1
5.307594e-003	1.199840e+000
6.191603e-003	1.399680e+000
7.075612e-003	1.599520e+000
7.959622e-003	1.799360e+000
8.843631e-003	1.999200e+000
9.727641e-003	2.199040e+000
1.061165e-002	2.398880e+000
1.149566e-002	2.598720e+000
1.237967e-002	2.798560e+000
1.326368e-002	2.998400e+000
1.414769e-002	3.198240e+000
1.503170e-002	3.398080e+000
1.591571e-002	3.597920e+000
1.679972e-002	3.797760e+000
1.768374e-002	3.997600e+000
1.856775e-002	4.197439e+000
1.945176e-002	4.397279e+000
2.033577e-002	4.597119e+000
2.121978e-002	4.796959e+000
2.210380e-002	4.996799e+000
2.298781e-002	5.196639e+000
2.387182e-002	5.396479e+000
2.475584e-002	5.596319e+000
2.563985e-002	5.796159e+000
2.652387e-002	5.995999e+000
2.740788e-002	6.195839e+000
2.829190e-002	6.395679e+000
2.917591e-002	6.595519e+000
3.005993e-002	6.795359e+000
3.094394e-002	6.995199e+000
3.182796e-002	7.195039e+000
3.271198e-002	7.394879e+000
3.359600e-002	7.594719e+000
3.448002e-002	7.794559e+000
3.536404e-002	7.994399e+000
3.624805e-002	8.194239e+000
3.713207e-002	8.394079e+000
3.801610e-002	8.593919e+000
3.890012e-002	8.793759e+000
3.978414e-002	8.993599e+000
4.066816e-002	9.193439e+000
4.155218e-002	9.393279e+000
4.243621e-002	9.593119e+000
4.332023e-002	9.792959e+000
4.420426e-002	9.992799e+000
4.508828e-002	1.019264e+001
4.597231e-002	1.039248e+001
4.685633e-002	1.059232e+001
4.774036e-002	1.079216e+001
4.862439e-002	1.099200e+001
4.950842e-002	1.119184e+001
5.039245e-002	1.139168e+001
5.127648e-002	1.159152e+001
5.216051e-002	1.179136e+001
5.304454e-002	1.199120e+001
5.392858e-002	1.219104e+001
5.481261e-002	1.239088e+001
5.569664e-002	1.259072e+001
5.658068e-002	1.279056e+001
5.746471e-002	1.299040e+001
5.834875e-002	1.319024e+001
5.923279e-002	1.339008e+001
6.011683e-002	1.358992e+001
6.100087e-002	1.378976e+001
6.188491e-002	1.398960e+001
6.276895e-002	1.418944e+001
6.365299e-002	1.438928e+001
6.453703e-002	1.458912e+001
6.542108e-002	1.478896e+001
6.630512e-002	1.498880e+001
6.718917e-002	1.518864e+001
6.807322e-002	1.538848e+001
6.895726e-002	1.558832e+001
6.984131e-002	1.578816e+001
7.072536e-002	1.598800e+001
7.160941e-002	1.618784e+001
7.249347e-002	1.638768e+001
7.337752e-002	1.658752e+001
7.426157e-002	1.678736e+001
7.514563e-002	1.698720e+001
7.602969e-002	1.718704e+001
7.691374e-002	1.738688e+001
7.779780e-002	1.758672e+001
7.868186e-002	1.778656e+001
7.956592e-002	1.798640e+001
8.044999e-002	1.818624e+001
8.133405e-002	1.838608e+001
8.221811e-002	1.858592e+001
8.310218e-002	1.878576e+001
8.398625e-002	1.898560e+001
8.487032e-002	1.918544e+001
8.575439e-002	1.938528e+001
8.663846e-002	1.958512e+001
8.752253e-002	1.978496e+001
8.840660e-002	1.998480e+001
8.929068e-002	2.018464e+001
9.017475e-002	2.038448e+001
9.105883e-002	2.058432e+001
9.194291e-002	2.078416e+001
9.282699e-002	2.098400e+001
9.371107e-002	2.118384e+001
9.459516e-002	2.138368e+001
9.547924e-002	2.158352e+001
9.636333e-002	2.178336e+001
9.724742e-002	2.198320e+001
9.813150e-002	2.218304e+001
9.901560e-002	2.238288e+001
9.989969e-002	2.258272e+001
1.007838e-001	2.278256e+001
1.016679e-001	2.298240e+001
1.025520e-001	2.318224e+001
1.034361e-001	2.338208e+001
1.043202e-001	2.358192e+001
1.052043e-001	2.378176e+001
1.060884e-001	2.398160e+001
1.069725e-001	2.418144e+001
1.078566e-001	2.438128e+001
1.087407e-001	2.458112e+001
1.096248e-001	2.478096e+001
1.105089e-001	2.498080e+001
1.113930e-001	2.518064e+001
1.122771e-001	2.538048e+001
1.131613e-001	2.558032e+001
1.140454e-001	2.578016e+001
1.149295e-001	2.598000e+001
1.158136e-001	2.617984e+001
1.166977e-001	2.637968e+001
1.175819e-001	2.657952e+001
1.184660e-001	2.677936e+001
1.193501e-001	2.697920e+001
1.202342e-001	2.717904e+001
1.211184e-001	2.737888e+001
1.220025e-001	2.757872e+001
1.228867e-001	2.777856e+001
1.237708e-001	2.797840e+001
1.246549e-001	2.817824e+001
1.255391e-001	2.837808e+001
1.264232e-001	2.857792e+001
1.273074e-001	2.877776e+001
1.281915e-001	2.897760e+001
1.290757e-001	2.917744e+001
1.299598e-001	2.937728e+001
1.308440e-001	2.957712e+001
1.317281e-001	2.977696e+001
1.326123e-001	2.997680e+001
1.334964e-001	3.017664e+001
1.343806e-001	3.037648e+001
1.352648e-001	3.057632e+001
1.361489e-001	3.077616e+001
1.370331e-001	3.097600e+001
1.379173e-001	3.117584e+001
1.388014e-001	3.137568e+001
1.396856e-001	3.157552e+001
1.405698e-001	3.177536e+001
1.414540e-001	3.197520e+001
1.423381e-001	3.217504e+001
1.432223e-001	3.237487e+001
1.441065e-001	3.257471e+001
1.449907e-001	3.277455e+001
1.458749e-001	3.297439e+001
1.467591e-001	3.317423e+001
1.476433e-001	3.337407e+001
1.485275e-001	3.357391e+001
1.494117e-001	3.377375e+001
1.502959e-001	3.397359e+001
1.511801e-001	3.417343e+001
1.520643e-001	3.437327e+001
1.529485e-001	3.457311e+001
1.538327e-001	3.477295e+001
1.547169e-001	3.497279e+001
1.556011e-001	3.517263e+001
1.564854e-001	3.537247e+001
1.573696e-001	3.557231e+001
1.582538e-001	3.577215e+001
1.591380e-001	3.597199e+001
1.600223e-001	3.617183e+001
1.609065e-001	3.637167e+001
1.617907e-001	3.657151e+001
1.626750e-001	3.677135e+001
1.635592e-001	3.697119e+001
1.644434e-001	3.717103e+001
1.653277e-001	3.737087e+001
1.662119e-001	3.757071e+001
1.670962e-001	3.777055e+001
1.679804e-001	3.797039e+001
1.688647e-001	3.817023e+001
1.697489e-001	3.837007e+001
1.706332e-001	3.856991e+001
1.715175e-001	3.876975e+001
1.724017e-001	3.896959e+001
1.732860e-001	3.916943e+001
1.741703e-001	3.936927e+001
1.750545e-001	3.956911e+001
1.759388e-001	3.976895e+001
1.768231e-001	3.996879e+001
1.777074e-001	4.016863e+001
1.785917e-001	4.036847e+001
1.794760e-001	4.056831e+001
1.803602e-001	4.076815e+001
1.812445e-001	4.096799e+001
1.821288e-001	4.116783e+001
1.830131e-001	4.136767e+001
1.838974e-001	4.156751e+001
1.847817e-001	4.176735e+001
1.856661e-001	4.196719e+001
1.865504e-001	4.216703e+001
1.874347e-001	4.236687e+001
1.883190e-001	4.256671e+001
1.892033e-001	4.276655e+001
1.900876e-001	4.296639e+001
1.909720e-001	4.316623e+001
1.918563e-001	4.336607e+001
1.927406e-001	4.356591e+001
1.936250e-001	4.376575e+001
1.945093e-001	4.396559e+001
1.953937e-001	4.416543e+001
1.962780e-001	4.436527e+001
1.971624e-001	4.456511e+001
1.980467e-001	4.476495e+001
1.989311e-001	4.496479e+001
1.998154e-001	4.516463e+001
2.006998e-001	4.536447e+001
2.015842e-001	4.556431e+001
2.024685e-001	4.576415e+001
2.033529e-001	4.596399e+001
2.042373e-001	4.616383e+001
2.051217e-001	4.636367e+001
2.060060e-001	4.656351e+001
2.068904e-001	4.676335e+001
2.077748e-001	4.696319e+001
2.086592e-001	4.716303e+001
2.095436e-001	4.736287e+001
2.104280e-001	4.756271e+001
2.113124e-001	4.776255e+001
2.121968e-001	4.796239e+001
2.130812e-001	4.816223e+001
2.139657e-001	4.836207e+001
2.148501e-001	4.856191e+001
2.157345e-001	4.876175e+001
2.166189e-001	4.896159e+001
2.175033e-001	4.916143e+001
2.183878e-001	4.936127e+001
2.192722e-001	4.956111e+001
2.201567e-001	4.976095e+001
2.210411e-001	4.996079e+001
2.219256e-001	5.016063e+001
2.228100e-001	5.036047e+001
2.236945e-001	5.056031e+001
2.245789e-001	5.076015e+001
2.254634e-001	5.095999e+001
2.263479e-001	5.115983e+001
2.272323e-001	5.135967e+001
2.281168e-001	5.155951e+001
2.290013e-001	5.175935e+001
2.298858e-001	5.195919e+001
2.307703e-001	5.215903e+001
2.316548e-001	5.235887e+001
2.325392e-001	5.255871e+001
2.334237e-001	5.275855e+001
2.343083e-001	5.295839e+001
2.351928e-001	5.315823e+001
2.360773e-001	5.335807e+001
2.369618e-001	5.355791e+001
2.378463e-001	5.375775e+001
2.387308e-001	5.395759e+001
2.396154e-001	5.415743e+001
2.404999e-001	5.435727e+001
2.413844e-001	5.455711e+001
2.422690e-001	5.475695e+001
2.431535e-001	5.495679e+001
2.440381e-001	5.515663e+001
2.449226e-001	5.535647e+001
2.458072e-001	5.555631e+001
2.466918e-001	5.575615e+001
2.475763e-001	5.595599e+001
2.484609e-001	5.615583e+001
2.493455e-001	5.635567e+001
2.502301e-001	5.655551e+001
2.511146e-001	5.675535e+001
2.519992e-001	5.695519e+001
2.528838e-001	5.715503e+001
2.537684e-001	5.735487e+001
2.546530e-001	5.755471e+001
2.555376e-001	5.775455e+001
2.564223e-001	5.795439e+001
2.573069e-001	5.815423e+001
2.581915e-001	5.835407e+001
2.590761e-001	5.855391e+001
2.599608e-001	5.875375e+001
2.608454e-001	5.895359e+001
2.617300e-001	5.915343e+001
2.626147e-001	5.935327e+001
2.634993e-001	5.955311e+001
2.643840e-001	5.975295e+001
2.652687e-001	5.995279e+001
2.661533e-001	6.015263e+001
2.670380e-001	6.035247e+001
2.679227e-001	6.055231e+001
2.688074e-001	6.075215e+001
2.696920e-001	6.095199e+001
